galaxy_name,J_old_circular,J_new_visible,r_disk_kpc,v_visible_at_disk,ratio,sigma_J_frac,sigma_J_pct,sigma_J_abs,J_lower_1sigma,J_upper_1sigma,sigma_from_incl_pct,sigma_from_D_pct,inclination_deg,distance_mpc
CamB,3.712786e+62,5.398341e+61,0.90,16.72,0.145399,0.2196,21.96,1.1855e+61,4.212859e+61,6.583823e+61,9.07,20.00,60.0,3.36
D512-2,9.684708e+63,5.677298e+62,1.92,22.10,0.058621,0.2196,21.96,1.2467e+62,4.430557e+62,6.924039e+62,9.07,20.00,60.0,15.2
D564-8,2.101369e+63,4.546862e+61,1.53,11.08,0.021638,0.2196,21.96,9.9850e+60,3.548366e+61,5.545358e+61,9.07,20.00,60.0,8.79
D631-7,1.387801e+65,1.060118e+63,1.80,28.41,0.007639,0.2196,21.96,2.3280e+62,8.273145e+62,1.292921e+63,9.07,20.00,60.0,7.72
DDO064,1.307244e+64,9.573543e+62,1.88,26.68,0.073235,0.2196,21.96,2.1024e+62,7.471182e+62,1.167590e+63,9.07,20.00,60.0,6.8
DDO154,4.710676e+64,8.058488e+62,2.96,18.61,0.017107,0.2196,21.96,1.7697e+62,6.288835e+62,9.828142e+62,9.07,20.00,60.0,4.04
DDO161,7.366697e+65,2.186960e+64,5.81,35.67,0.029687,0.2196,21.96,4.8026e+63,1.706701e+64,2.667219e+64,9.07,20.00,60.0,7.5
DDO168,3.405729e+64,1.977757e+63,2.47,28.32,0.058071,0.2196,21.96,4.3432e+62,1.543440e+63,2.412075e+63,9.07,20.00,60.0,4.25
DDO170,5.220390e+65,1.746694e+64,6.35,31.20,0.033459,0.2196,21.96,3.8358e+63,1.363118e+64,2.130270e+64,9.07,20.00,60.0,15.4
ESO079-G014,2.236335e+67,3.232172e+66,10.04,130.98,0.144530,0.2196,21.96,7.0979e+65,2.522384e+66,3.941961e+66,9.07,20.00,60.0,28.7
ESO116-G012,1.949008e+66,6.129155e+64,3.68,68.20,0.031448,0.2196,21.96,1.3460e+64,4.783185e+64,7.475124e+64,9.07,20.00,60.0,13.0
ESO444-G084,6.933846e+64,6.009088e+62,1.81,23.43,0.008666,0.2196,21.96,1.3196e+62,4.689485e+62,7.328691e+62,9.07,20.00,60.0,4.83
ESO563-G021,7.794818e+68,4.318052e+67,12.06,275.04,0.055396,0.2196,21.96,9.4825e+66,3.369803e+67,5.266301e+67,9.07,20.00,60.0,60.8
F561-1,1.704714e+65,1.545060e+65,8.06,55.03,0.906346,0.2196,21.96,3.3930e+64,1.205763e+65,1.884357e+65,9.07,20.00,60.0,66.4
F563-1,6.866183e+66,1.431300e+65,11.84,41.52,0.020846,0.2196,21.96,3.1432e+64,1.116985e+65,1.745615e+65,9.07,20.00,60.0,48.9
F563-V1,1.798221e+64,9.805673e+63,5.24,29.25,0.545299,0.2196,21.96,2.1533e+63,7.652336e+63,1.195901e+64,9.07,20.00,60.0,54.0
F563-V2,2.570070e+66,1.357328e+65,7.86,53.60,0.052813,0.2196,21.96,2.9807e+64,1.059257e+65,1.655399e+65,9.07,20.00,60.0,59.7
F565-V2,6.341238e+65,1.470806e+64,6.29,29.64,0.023194,0.2196,21.96,3.2299e+63,1.147815e+64,1.793797e+64,9.07,20.00,60.0,51.8
F567-2,1.866613e+65,4.357447e+64,7.67,37.30,0.233441,0.2196,21.96,9.5690e+63,3.400547e+64,5.314348e+64,9.07,20.00,60.0,79.0
F568-1,7.151388e+66,2.755108e+65,9.24,60.93,0.038525,0.2196,21.96,6.0502e+64,2.150083e+65,3.360133e+65,9.07,20.00,60.0,90.7
F568-3,7.971293e+66,3.186613e+65,10.17,59.99,0.039976,0.2196,21.96,6.9978e+64,2.486829e+65,3.886397e+65,9.07,20.00,60.0,82.4
F568-V1,7.287126e+66,1.453949e+65,9.00,50.11,0.019952,0.2196,21.96,3.1929e+64,1.134660e+65,1.773238e+65,9.07,20.00,60.0,80.6
F571-8,1.030277e+67,1.165149e+65,2.33,114.57,0.011309,0.2196,21.96,2.5587e+64,9.092810e+64,1.421017e+65,9.07,20.00,60.0,53.3
F571-V1,1.556433e+66,6.166027e+64,7.78,41.48,0.039616,0.2196,21.96,1.3541e+64,4.811960e+64,7.520093e+64,9.07,20.00,60.0,80.1
F574-1,2.245082e+66,1.330414e+65,7.99,52.66,0.059259,0.2196,21.96,2.9216e+64,1.038254e+65,1.622575e+65,9.07,20.00,60.0,96.8
F574-2,1.071131e+65,7.785630e+64,8.65,41.78,0.726861,0.2196,21.96,1.7097e+64,6.075897e+64,9.495364e+64,9.07,20.00,60.0,89.1
F579-V1,4.858683e+66,3.212038e+65,7.37,74.56,0.066109,0.2196,21.96,7.0537e+64,2.506671e+65,3.917405e+65,9.07,20.00,60.0,89.5
F583-1,2.382915e+66,8.692752e+64,10.29,38.60,0.036479,0.2196,21.96,1.9089e+64,6.783814e+64,1.060169e+65,9.07,20.00,60.0,35.4
F583-4,2.589955e+65,1.320072e+64,3.92,39.19,0.050969,0.2196,21.96,2.8989e+63,1.030182e+64,1.609961e+64,9.07,20.00,60.0,53.3
IC2574,4.592702e+65,2.091093e+64,6.54,32.48,0.045531,0.2196,21.96,4.5921e+63,1.631887e+64,2.550300e+64,9.07,20.00,60.0,3.91
IC4202,1.442434e+68,1.733242e+67,9.45,238.71,0.120161,0.2196,21.96,3.8062e+66,1.352620e+67,2.113864e+67,9.07,20.00,60.0,100.4
KK98-251,5.592070e+63,4.112813e+62,1.89,20.06,0.073547,0.2196,21.96,9.0318e+61,3.209634e+62,5.015991e+62,9.07,20.00,60.0,6.8
NGC0024,2.412301e+66,3.130580e+64,2.44,71.69,0.012978,0.2196,21.96,6.8748e+63,2.443101e+64,3.818059e+64,9.07,20.00,60.0,7.3
NGC0055,1.683145e+66,1.385052e+65,7.37,56.33,0.082290,0.2196,21.96,3.0416e+64,1.080893e+65,1.689211e+65,9.07,20.00,60.0,2.11
