galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J,log10_J,k_best,mean_error
CamB,3.36,1.79,20.1,3.713e+62,62.57,1.000e-42,0.5781
D512-2,15.2,3.83,35.9,9.685e+63,63.99,1.000e-36,0.2868
D564-8,8.79,3.07,25.0,2.101e+63,63.32,1.000e-36,0.3715
D631-7,7.72,7.19,57.3,1.388e+65,65.14,1.000e-42,0.4243
DDO064,6.8,2.98,46.9,1.307e+64,64.12,1.000e-36,0.3014
DDO154,4.04,5.92,45.5,4.711e+64,64.67,1.000e-36,0.4400
DDO161,7.5,13.37,66.1,7.367e+65,65.87,1.000e-40,0.2858
DDO168,4.25,4.12,52.0,3.406e+64,64.53,1.000e-38,0.3277
DDO170,15.4,12.33,62.2,5.220e+65,65.72,1.000e-36,0.3989
ESO079-G014,28.7,16.67,178.0,2.236e+67,67.35,1.000e-40,0.1791
ESO116-G012,13.0,9.86,112.0,1.949e+66,66.29,1.000e-38,0.2787
ESO444-G084,4.83,4.44,62.7,6.934e+64,64.84,1.000e-36,0.4175
ESO563-G021,60.8,42.41,312.0,7.795e+68,68.89,1.000e-42,0.3149
F561-1,66.4,9.66,50.4,1.705e+65,65.23,1.000e-42,0.0994
F563-1,48.9,20.1,106.0,6.866e+66,66.84,1.000e-38,0.5498
F563-V1,54.0,7.87,27.3,1.798e+64,64.25,1.000e-42,0.0570
F563-V2,59.7,10.47,118.0,2.570e+66,66.41,1.000e-38,0.5132
F565-V2,51.8,8.8,83.1,6.341e+65,65.80,1.000e-38,0.5278
F567-2,79.0,9.59,52.2,1.867e+65,65.27,1.000e-38,0.2049
F568-1,90.7,13.23,142.0,7.151e+66,66.85,1.000e-40,0.5049
F568-3,82.4,17.98,120.0,7.971e+66,66.90,1.000e-42,0.3453
F568-V1,80.6,17.63,118.0,7.287e+66,66.86,1.000e-38,0.5226
F571-8,53.3,15.55,144.0,1.030e+67,67.01,1.000e-42,0.6131
F571-V1,80.1,13.59,83.9,1.556e+66,66.19,1.000e-38,0.3998
F574-1,96.8,12.6,99.7,2.245e+66,66.35,1.000e-40,0.3928
F574-2,89.1,10.83,40.0,1.071e+65,65.03,1.000e-42,0.3270
F579-V1,89.5,15.16,114.0,4.859e+66,66.69,1.000e-38,0.3389
F583-1,35.4,16.26,85.8,2.383e+66,66.38,1.000e-40,0.4969
F583-4,53.3,7.29,69.9,2.590e+65,65.41,1.000e-38,0.3147
IC2574,3.91,10.23,67.5,4.593e+65,65.66,1.000e-38,0.3311
IC4202,100.4,25.9,247.0,1.442e+68,68.16,1.000e-42,0.2156
KK98-251,6.8,3.13,34.2,5.592e+63,63.75,1.000e-38,0.2863
NGC0024,7.3,11.27,110.0,2.412e+66,66.38,1.000e-38,0.3069
NGC0055,2.11,13.5,86.5,1.683e+66,66.23,1.000e-40,0.2457
NGC0100,13.5,9.62,91.2,1.002e+66,66.00,1.000e-42,0.2916
