galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J_new,log10_J_new,k_optimal,log10_k_optimal,chi2_reduced,mean_error,mean_error_pct
CamB,3.36,1.79,20.1,5.398341e+61,61.73226031440739,1e-45,-45.0,9.473359418273786,0.5781291188924202,57.812911889242024
D512-2,15.2,3.83,35.9,5.677298e+62,62.754141690836114,6.813725540016134e-35,-34.166615363996364,3.1393703822003047,0.20844782648247273,20.844782648247275
D564-8,8.79,3.07,25.0,4.546862e+61,61.657711773306055,3.05984460984342e-34,-33.51430062802858,14.684311962469984,0.377403884655868,37.7403884655868
D631-7,7.72,7.19,57.3,1.060118e+63,63.025354208563506,5.091028626314979e-35,-34.2931944609639,73.10595062940789,0.5643319582293396,56.43319582293395
DDO064,6.8,2.98,46.9,9.573543e+62,62.98107269227949,3.4964130124289977e-35,-34.456377272140465,4.60517122332247,0.4277615029504367,42.77615029504367
DDO154,4.04,5.92,45.5,8.058488e+62,62.906253563535095,1.4291334560565925e-34,-33.84492721381037,197.11815148956984,0.4969734431854737,49.69734431854737
DDO161,7.5,13.37,66.1,2.18696e+64,64.33984083976459,1.8529532696927997e-35,-34.732135533174606,156.46438639417667,0.8586572455647823,85.86572455647823
DDO168,4.25,4.12,52.0,1.977757e+63,63.29617293031369,3.5978350929214345e-35,-34.44395874645893,64.70761761994251,0.4229741776965561,42.29741776965561
DDO170,15.4,12.33,62.2,1.746694e+64,64.24221682842224,2.6061297333606594e-35,-34.58400396886892,119.19423565708365,0.3746657536719723,37.46657536719723
ESO079-G014,28.7,16.67,178.0,3.232172e+66,66.50949446369391,3.3203407648060506e-37,-36.47881734259703,89.80012077348793,0.5812197208018224,58.12197208018224
ESO116-G012,13.0,9.86,112.0,6.129155e+64,64.78740060434991,5.7608846862861755e-36,-35.239510817814754,145.4772988436843,0.4718974176862788,47.18974176862788
ESO444-G084,4.83,4.44,62.7,6.009088e+62,62.7788085640789,2.65354680925743e-34,-33.57617324689915,97.21749483448,0.4820369376401306,48.20369376401306
ESO563-G021,60.8,42.41,312.0,4.318052e+67,67.6352878680068,1e-45,-45.0,60.17535073743615,0.31473860665879305,31.473860665879304
F561-1,66.4,9.66,50.4,1.54506e+65,65.1889453492385,1e-45,-45.0,0.6212328150303139,0.09938481635065462,9.938481635065461
F563-1,48.9,20.1,106.0,1.4313e+65,65.15573067127859,2.9288648581181435e-36,-35.53330066680512,20.023623817825992,0.5622991898996966,56.22991898996966
F563-V1,54.0,7.87,27.3,9.805673e+63,63.9914774062808,1.1263829978098417e-37,-36.948313913611315,0.14224458963957246,0.06271510528557671,6.271510528557671
F563-V2,59.7,10.47,118.0,1.357328e+65,65.13268480814406,9.092752342244323e-37,-36.041304637556884,13.697990865213304,0.6514431486028776,65.14431486028775
F565-V2,51.8,8.8,83.1,1.470806e+64,64.16755539285958,3.702477195732892e-35,-34.43150760770152,14.933369836221184,0.6963555722082975,69.63555722082975
F567-2,79.0,9.59,52.2,4.357447e+64,64.63923211345328,2.610665897842421e-36,-35.58324870382148,1.5226348245996522,0.21463774749563366,21.463774749563367
F568-1,90.7,13.23,142.0,2.755108e+65,65.44013862782836,1.4015526994559329e-36,-35.85339056779123,22.850882684898696,0.7233928295830573,72.33928295830573
F568-3,82.4,17.98,120.0,3.186613e+65,65.50332932353966,1.5287439373789285e-37,-36.81566525225695,13.766651937504811,0.4139096172273975,41.390961722739746
