ClID,sig200,M200,r200,N200,z,J,log10_J,k_best,mean_error,k_theory,log10_k_ratio
1.0,1042.09,1.355e+15,1.759,167,0.0732,5.387e+74,74.73,1.000e-42,0.7485,9.564e-51,-50.02
2.0,926.76,8.947e+14,1.511,63,0.1139,2.719e+74,74.43,1.000e-42,0.7232,1.113e-50,-49.95
3.0,932.60,8.757e+14,1.545,672,0.0234,2.737e+74,74.44,1.000e-42,0.6757,1.089e-50,-49.96
4.0,881.25,7.702e+14,1.453,155,0.0810,2.140e+74,74.33,1.000e-42,0.7145,1.157e-50,-49.94
5.0,842.65,7.589e+14,1.449,77,0.0751,2.010e+74,74.30,1.000e-42,0.7824,1.161e-50,-49.94
6.0,886.46,7.332e+14,1.431,128,0.0784,2.018e+74,74.30,1.000e-42,0.6759,1.175e-50,-49.93
7.0,887.63,7.281e+14,1.423,84,0.0878,1.996e+74,74.30,1.000e-42,0.6724,1.182e-50,-49.93
8.0,860.21,6.952e+14,1.390,80,0.1138,1.803e+74,74.26,1.000e-42,0.7065,1.211e-50,-49.92
9.0,838.21,6.632e+14,1.379,150,0.0898,1.663e+74,74.22,1.000e-42,0.7171,1.220e-50,-49.91
10.0,771.33,6.618e+14,1.401,299,0.0370,1.552e+74,74.19,1.000e-42,0.8491,1.200e-50,-49.92
11.0,846.60,6.583e+14,1.378,93,0.0849,1.666e+74,74.22,1.000e-42,0.6946,1.221e-50,-49.91
12.0,833.35,6.154e+14,1.340,72,0.1002,1.491e+74,74.17,1.000e-42,0.6875,1.255e-50,-49.90
13.0,861.51,5.915e+14,1.322,35,0.1017,1.461e+74,74.16,1.000e-42,0.6113,1.272e-50,-49.90
15.0,753.32,5.287e+14,1.284,109,0.0766,1.109e+74,74.05,1.000e-42,0.7676,1.310e-50,-49.88
16.0,733.15,5.118e+14,1.279,126,0.0555,1.041e+74,74.02,1.000e-42,0.7906,1.315e-50,-49.88
17.0,718.28,4.993e+14,1.278,283,0.0303,9.946e+73,74.00,1.000e-42,0.8055,1.316e-50,-49.88
19.0,683.93,4.874e+14,1.246,76,0.0863,9.009e+73,73.95,1.000e-42,0.8978,1.350e-50,-49.87
22.0,713.67,4.729e+14,1.230,32,0.0944,9.005e+73,73.95,1.000e-42,0.8028,1.368e-50,-49.86
23.0,765.15,4.717e+14,1.236,101,0.0772,9.678e+73,73.99,1.000e-42,0.6756,1.361e-50,-49.87
28.0,508.09,4.137e+14,1.179,39,0.0861,5.378e+73,73.73,1.000e-42,1.4183,1.426e-50,-49.85
29.0,733.73,4.121e+14,1.176,77,0.0899,7.718e+73,73.89,1.000e-42,0.6737,1.430e-50,-49.84
32.0,770.60,4.050e+14,1.187,119,0.0443,8.038e+73,73.91,1.000e-42,0.5730,1.417e-50,-49.85
34.0,721.15,4.032e+14,1.188,68,0.0358,7.496e+73,73.87,1.000e-42,0.6760,1.416e-50,-49.85
36.0,683.24,3.918e+14,1.152,42,0.1036,6.690e+73,73.83,1.000e-42,0.7714,1.461e-50,-49.84
37.0,702.56,3.917e+14,1.163,71,0.0727,6.944e+73,73.84,1.000e-42,0.7138,1.446e-50,-49.84
38.0,748.10,3.910e+14,1.157,31,0.0883,7.340e+73,73.87,1.000e-42,0.6126,1.454e-50,-49.84
39.0,663.96,3.835e+14,1.146,62,0.0981,6.328e+73,73.80,1.000e-42,0.8081,1.468e-50,-49.83
