galaxy_name,h_kpc,B_T,SB_disk_center,SB_bulge_center
CamB,0.4603,,35.42,
D512-2,1.2245,,69.38,
D564-8,0.6046,,17.09,
D631-7,0.6886,,68.43,
DDO064,0.7150,,84.18,
DDO154,0.3656,,75.10,
DDO161,1.2205,,289.75,
DDO168,1.0451,,109.76,
DDO170,1.9818,,66.07,
ESO079-G014,5.1680,,5395.48,
ESO116-G012,1.4839,,1454.89,
ESO444-G084,0.4617,,34.48,
ESO563-G021,5.4220,,12718.33,
F561-1,3.1014,,92.65,
F563-1,3.3836,,105.11,
F563-V1,3.8603,,36.28,
F563-V2,2.5036,,109.96,
F565-V2,2.1868,,25.10,
F567-2,3.3002,,40.74,
F568-1,4.6118,,141.65,
F568-3,4.8069,,208.94,
F568-V1,2.8059,,136.53,
F571-8,2.2443,,5100.70,
F571-V1,2.4400,,51.15,
F574-1,3.6024,,256.82,
F574-2,3.9629,,35.94,
F579-V1,3.4907,,204.19,
F583-1,2.3037,,72.58,
F583-4,2.0078,,59.71,
IC2574,2.8113,,117.28,
IC4202,5.7774,0.0371,2611.14,4786.93
KK98-251,1.2660,,48.53,
NGC0024,1.2918,,1749.16,
NGC0055,4.0849,,1717.24,
NGC0100,1.8172,,1182.58,
NGC0247,3.8743,,497.08,
NGC0289,5.5817,,19553.75,
NGC0300,1.7478,,1386.85,
NGC0801,8.2074,,19463.91,
NGC0891,2.2234,0.0650,8257.15,18392.33
NGC1003,1.5952,,1865.65,
NGC1090,3.6225,,4203.68,
NGC1705,0.3930,,1082.51,
NGC2366,0.6483,,73.05,
NGC2403,1.4004,,2055.09,
NGC2683,2.1891,0.0197,6931.54,39050.75
NGC2841,3.6747,0.1238,2997.99,89676.02
NGC2903,2.0214,,55059.22,
NGC2915,0.5507,,2202.06,
NGC2955,9.5158,0.1333,3348.34,7871.49
NGC2976,0.9996,,4889.11,
NGC2998,5.3044,,4168.98,
NGC3109,1.5667,,167.04,
NGC3198,3.1962,,18048.04,
NGC3521,1.9519,,120567.44,
NGC3726,3.4629,,8929.56,
NGC3741,0.2023,,214.21,
NGC3769,2.8121,,4664.77,
NGC3877,2.5812,,25190.11,
NGC3893,2.2168,,14751.29,
NGC3917,2.6962,,1879.45,
NGC3949,1.9812,,8418.41,
NGC3953,3.3567,,31947.00,
NGC3972,2.2323,,2584.82,
NGC3992,5.4119,,31566.76,
NGC4010,2.6892,,2608.74,
NGC4013,2.0116,0.0267,7125.74,23777.13
NGC4051,4.7226,,126133.38,
NGC4068,0.6828,,113.67,
NGC4085,1.1661,,15347.23,
NGC4088,2.5259,,28341.97,
NGC4100,2.4605,,21243.69,
NGC4138,1.5042,0.1366,3474.00,51268.41
NGC4157,2.3886,0.0032,10111.84,8516.99
NGC4183,2.8318,,2114.61,
NGC4214,0.5121,,1736.32,
NGC4217,2.5828,0.1212,5455.44,13524.46
NGC4389,1.9063,,2940.56,
NGC4559,2.1161,,1951.78,
NGC5005,4.2978,0.0501,11717.37,17159.88
NGC5033,4.2954,0.1165,7125.74,79869.91
NGC5055,3.1440,,106962.13,
NGC5371,5.6929,,24458.51,
NGC5585,1.1791,,1283.60,
NGC5907,5.3178,,23967.90,
NGC5985,7.0356,0.0243,1693.67,7078.46
NGC6015,2.3179,,3937.59,
NGC6195,10.3145,0.1806,1249.77,8735.49
NGC6503,1.7859,,12179.52,
NGC6674,6.0393,0.0524,1773.50,4733.00
NGC6789,0.3050,,248.22,
NGC6946,2.4428,0.0503,2425.66,115634.90
NGC7331,3.9590,0.0209,36043.75,77020.14
