galaxy_name,error_pct_modelA,error_pct_modelB
CamB,57.8129,57.8129
D512-2,36.9236,36.9236
D564-8,42.4215,42.4215
D631-7,42.4277,42.4277
DDO064,41.3590,41.3590
DDO154,49.3443,49.3443
DDO161,28.6216,28.6216
DDO168,33.0670,33.0670
DDO170,43.4874,43.4874
ESO079-G014,18.0464,18.0465
ESO116-G012,29.1387,29.1387
ESO444-G084,57.9345,57.9345
ESO563-G021,31.4742,31.4739
F561-1,9.9385,9.9385
F563-1,57.9844,57.9844
F563-V1,5.6978,5.6978
F563-V2,53.2769,53.2770
F565-V2,55.7559,55.7559
F567-2,20.9668,20.9668
F568-1,50.7932,50.7932
F568-3,34.5290,34.5290
F568-V1,52.6160,52.6160
F571-8,61.3094,61.3093
F571-V1,42.2380,42.2380
F574-1,39.3655,39.3655
F574-2,32.6971,32.6971
F579-V1,39.2860,39.2861
F583-1,49.9143,49.9144
F583-4,34.2429,34.2429
IC2574,34.2676,34.2676
IC4202,21.5607,21.5606
KK98-251,29.0274,29.0274
NGC0024,32.9280,32.9280
NGC0055,24.5787,24.5787
NGC0100,29.1570,29.1570
NGC0247,36.0147,36.0147
NGC0289,29.8373,29.8373
NGC0300,38.8122,38.8122
NGC0801,17.8015,17.8014
NGC0891,23.6034,23.6034
NGC1003,40.9470,40.9470
NGC1090,20.4102,20.4101
NGC1705,51.8733,51.8733
NGC2366,30.6509,30.6509
NGC2403,21.0666,21.0666
NGC2683,16.9494,16.9494
NGC2841,25.2554,25.2554
NGC2903,39.8848,39.8848
NGC2915,65.5964,65.5964
NGC2955,14.3731,14.3731
NGC2976,11.5585,11.5585
NGC2998,17.4773,17.4774
NGC3109,56.6718,56.6718
NGC3198,25.4319,25.4319
NGC3521,24.5821,24.5821
NGC3726,20.6072,20.6072
NGC3741,57.5055,57.5055
NGC3769,30.5864,30.5864
NGC3877,26.2820,26.2820
NGC3893,17.3612,17.3612
NGC3917,21.4117,21.4117
NGC3949,19.1312,19.1312
NGC3953,8.1860,8.1860
NGC3972,18.2754,18.2754
NGC3992,18.9757,18.9757
NGC4010,16.0289,16.0289
NGC4013,18.8141,18.8141
NGC4051,19.6487,19.6487
NGC4068,23.1670,23.1670
NGC4085,38.8488,38.8488
NGC4088,28.4501,28.4501
NGC4100,14.7432,14.7432
NGC4138,17.0278,17.0278
NGC4157,20.6892,20.6891
NGC4183,30.3665,30.3665
NGC4214,39.5013,39.5013
NGC4217,39.3267,39.3267
NGC4389,98.9354,98.9353
NGC4559,18.7062,18.7062
NGC5005,21.4569,21.4569
NGC5033,27.0491,27.0491
NGC5055,28.7621,28.7621
NGC5371,13.8876,13.8875
NGC5585,26.0331,26.0331
NGC5907,16.7796,16.7796
NGC5985,27.8953,27.8953
NGC6015,22.5420,22.5420
NGC6195,17.1329,17.1329
NGC6503,32.9958,32.9958
NGC6674,28.7995,28.7995
NGC6789,47.0325,47.0325
NGC6946,14.8801,14.8800
NGC7331,23.0071,23.0071
NGC7793,16.7890,16.7890
NGC7814,21.5390,21.5390
PGC51017,20.3305,20.3305
UGC00128,51.2032,51.2032
UGC00191,33.9219,33.9219
UGC00634,46.8729,46.8729
UGC00731,59.8617,59.8617
UGC00891,41.6203,41.6203
UGC01230,40.7296,40.7295
UGC01281,52.8629,52.8629
UGC02023,15.4911,15.4911
UGC02259,48.8088,48.8088
UGC02455,107.9078,107.9078
UGC02487,29.3503,29.3504
UGC02885,20.5522,20.5522
UGC02916,15.6303,15.6303
UGC02953,20.3420,20.3420
UGC03205,12.1830,12.1830
UGC03546,27.9164,27.9164
UGC03580,41.1310,41.1310
UGC04278,36.4613,36.4613
