galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J,log10_J,k_fitted,log10_k_fitted,mean_error_pct,omega_lt_max_rad_s,log10_omega_lt,cumul_precession_rad,cumul_precession_rotations,v_boost_max_km_s,relative_boost_pct,T_orb_Gyr,n_orbits_10Gyr,precession_per_orbit_rad,k_theory,log10_k_theory,k_ratio_theory_to_fitted,log10_k_ratio
CamB,3.36,1.79,20.1,5.398341e+61,61.73226031440739,1e-45,-45.0,57.812911889242024,2.374964646628596e-25,-24.62434285083423,7.494818433244658e-08,1.1928374012271417e-08,1.3119162210097566e-08,6.52694637318287e-08,5.4717821276128795,18.275581459166396,4.101001355273168e-09,1.37893007561653e-45,-44.86045775597342,1.37893007561653,0.1395422440265817
D512-2,15.2,3.83,35.9,5.677298e+62,62.754141690836114,6.813725540016134e-35,-34.166615363996364,20.844782648247275,2.5497717003786735e-25,-24.593498703371694,8.046467541187002e-08,1.2806350836084004e-08,3.0136720640021685e-08,8.394629704741417e-08,6.555052108277531,15.255408858416684,5.274501402004457e-09,8.372672168828812e-46,-45.077135913217354,1.2287950431312775e-11,-10.91052054922099
D564-8,8.79,3.07,25.0,4.546862e+61,61.657711773306055,3.05984460984342e-34,-33.51430062802858,37.7403884655868,3.965085664628535e-26,-25.40174742542744,1.2512858737008146e-08,1.991483320205457e-09,3.756530088840403e-09,1.5026120355361612e-08,7.545190161980068,13.253476433754615,9.44118986407202e-10,4.94880343292552e-45,-44.30549979607592,1.6173381540374244e-11,-10.791199168047346
D631-7,7.72,7.19,57.3,1.060118e+63,63.025354208563506,5.091028626314979e-35,-34.2931944609639,56.43319582293395,7.19653538458538e-26,-25.14287653488708,2.271053850525916e-08,3.6144944633908193e-09,1.5967917393521116e-08,2.7867220582061283e-08,7.709852889335614,12.970416094232036,1.7509491091314002e-09,2.257296609908425e-45,-44.64641137065955,4.433871375699406e-11,-10.353216909695645
DDO064,6.8,2.98,46.9,9.573543e+62,62.98107269227949,3.4964130124289977e-35,-34.456377272140465,42.77615029504367,9.12808819905769e-25,-24.03962017225121,2.88060556150583e-07,4.584626142116576e-08,8.394445494323026e-08,1.7898604465507518e-07,3.9040488604037633,25.614433521628065,1.1246024859669577e-08,4.189808511284035e-46,-45.37780582533754,1.1983162447886349e-11,-10.921428553197075
DDO154,4.04,5.92,45.5,8.058488e+62,62.906253563535095,1.4291334560565925e-34,-33.84492721381037,49.69734431854737,9.800412849871999e-26,-25.0087556289356,3.092775085511206e-08,4.922304427305677e-09,1.7904491840385354e-08,3.9350531517330454e-08,7.994331130565557,12.508863889520363,2.4724668145939786e-09,1.6434762240890976e-45,-44.78423657440657,1.1499809322384356e-11,-10.9393093605962
DDO161,7.5,13.37,66.1,2.18696e+64,64.33984083976459,1.8529532696927997e-35,-34.732135533174606,85.86572455647823,2.3088862939218185e-25,-24.636597454323297,7.286291010906718e-08,1.1596492311918473e-08,9.526423288768132e-08,1.4412138107062227e-07,12.42801505783773,8.046337209491469,9.055413439933638e-09,4.1062849013290954e-46,-45.38655092179868,2.2160758009886966e-11,-10.654415388624072
DDO168,4.25,4.12,52.0,1.977757e+63,63.29617293031369,3.5978350929214345e-35,-34.44395874645893,42.29741776965561,7.135710299072762e-25,-24.146562790087657,2.251858913340186e-07,3.583944772036346e-08,9.072570416970681e-08,1.7447250801866693e-07,4.868169548258249,20.541601727034823,1.0962430988896607e-08,3.9632356951966146e-46,-45.40195009923293,1.1015612424799813e-11,-10.957991352773996
DDO170,15.4,12.33,62.2,1.746694e+64,64.24221682842224,2.6061297333606594e-35,-34.58400396886892,37.46657536719723,2.351167264202997e-25,-24.628716473666888,7.41971960568125e-08,1.1808850516000195e-08,8.946280784648444e-08,1.4383088078212934e-07,12.179922219122698,8.210233054115747,9.037160768489736e-09,4.139638385404252e-46,-45.38303759464786,1.5884237581933808e-11,-10.799033625778943
ESO079-G014,28.7,16.67,178.0,3.232172e+66,66.50949446369391,3.3203407648060506e-37,-36.47881734259703,58.12197208018224,1.7605306563882867e-23,-22.754356408092036,5.555812224203899e-06,8.842349783724281e-07,9.05680700855896e-06,5.088093825033123e-06,5.754232697736693,17.378511654444022,3.1969436362999306e-07,1.146572880316949e-47,-46.940598334729486,3.4531783378081166e-11,-10.46178099213245
