galaxy_name,k_optimal,log10_k_optimal,mean_error_pct,J_new,log10_J_new,h_kpc,B_T,SB_disk_center
CamB,1e-45,-45.0,57.812911889242024,5.398341e+61,61.73226031440739,0.4603,,35.42
D512-2,1.0509585040533556e-34,-33.97841443127568,19.989813002006233,5.677298e+62,62.754141690836114,1.2245,,69.38
D564-8,1.9156155739408708e-34,-33.717691640804055,34.84255217951254,4.546862e+61,61.657711773306055,0.6046,,17.09
D631-7,1e-45,-45.0,42.42769865049703,1.060118e+63,63.025354208563506,0.6886,,68.43
DDO064,9.6353779946821e-36,-35.016131243355744,27.785190020393784,9.573543e+62,62.98107269227949,0.715,,84.18
DDO154,5.572635286307187e-35,-34.25393937939622,43.82983419225416,8.058488e+62,62.906253563535095,0.3656,,75.1
DDO161,7.956307315663727e-38,-37.09928845041948,28.27869286574672,2.18696e+64,64.33984083976459,1.2205,,289.75
DDO168,2.0025324144409484e-36,-35.6984204453816,30.459962995966745,1.977757e+63,63.29617293031369,1.0451,,109.76
DDO170,9.249419588400367e-36,-35.033885518878655,32.35538682194995,1.746694e+64,64.24221682842224,1.9818,,66.07
ESO079-G014,4.99948011319496e-39,-38.301075154805915,17.084592231405367,3.232172e+66,66.50949446369391,5.168,,5395.48
ESO116-G012,1.5455971465770167e-37,-36.810903692705885,27.41471661088693,6.129155e+64,64.78740060434991,1.4839,,1454.89
ESO444-G084,9.616434832734531e-35,-34.01698590711468,40.828280244999284,6.009088e+62,62.7788085640789,0.4617,,34.48
ESO563-G021,1e-45,-45.0,31.473860665879304,4.318052e+67,67.6352878680068,5.422,,12718.33
F561-1,1e-45,-45.0,9.938481635065461,1.54506e+65,65.1889453492385,3.1014,,92.65
F563-1,7.595799782949049e-37,-36.11942649131606,54.02668811816562,1.4313e+65,65.15573067127859,3.3836,,105.11
F563-V1,1e-45,-45.0,5.697841993627169,9.805673e+63,63.9914774062808,3.8603,,36.28
F563-V2,5.039921524797686e-38,-37.29757622577921,47.23426490564464,1.357328e+65,65.13268480814406,2.5036,,109.96
F565-V2,1.590984738605036e-36,-35.79833398626882,46.206994533699,1.470806e+64,64.16755539285958,2.1868,,25.1
F567-2,1.1733562370536169e-37,-36.93057011380211,19.660227804975886,4.357447e+64,64.63923211345328,3.3002,,40.74
F568-1,2.0661785735424288e-38,-37.684832146440485,48.55521905133817,2.755108e+65,65.44013862782836,4.6118,,141.65
F568-3,1e-45,-45.0,34.52897188323103,3.186613e+65,65.50332932353966,4.8069,,208.94
F568-V1,6.529434806807215e-38,-37.18512440998192,49.85006778870992,1.453949e+65,65.16254917309315,2.8059,,136.53
F571-8,1e-45,-45.0,61.30934981988842,1.165149e+65,65.06638146676981,2.2443,,5100.7
F571-V1,6.085114706873637e-37,-36.2157312307301,37.055314978875295,6.166027e+64,64.79000542209748,2.44,,51.15
F574-1,3.0316851720974e-38,-37.51831590037505,37.95306985087314,1.330414e+65,65.1239868063338,3.6024,,256.82
F574-2,1e-45,-45.0,32.69710001601022,7.78563e+64,64.89129376070035,3.9629,,35.94
F579-V1,1.3351769309642312e-36,-35.87446117995485,29.600497999912058,3.212038e+65,65.5067806745558,3.4907,,204.19
F583-1,6.77350167730646e-38,-37.16918675731594,47.668838535725584,8.692752e+64,64.93915728959091,2.3037,,72.58
F583-4,4.573288218338174e-37,-36.339771427596034,28.540090758358684,1.320072e+64,64.12059761934974,2.0078,,59.71
IC2574,2.9426615536610864e-37,-36.531259684835405,32.95470717678779,2.091093e+64,64.32037334821158,2.8113,,117.28
IC4202,1e-45,-45.0,21.560633945012608,1.733242e+67,67.23885920433374,5.7774,0.0371,2611.14
KK98-251,3.0792379591434754e-36,-35.511556748138155,25.075374977503976,4.112813e+62,62.61413896360245,1.266,,48.53
NGC0024,1.8717158072554064e-36,-35.72776009187479,30.13654704326329,3.13058e+64,64.49562480638487,1.2918,,1749.16
NGC0055,4.498127312611277e-38,-37.34696825668561,24.553508008945375,1.385052e+65,65.14146607873558,4.0849,,1717.24
NGC0100,1e-45,-45.0,29.15695640769475,2.932461e+64,64.46723224496577,1.8172,,1182.58
NGC0247,1.8268627674013032e-36,-35.73829407530692,26.283708696856923,1.992759e+65,65.29945477923292,3.8743,,497.08
NGC0289,1e-45,-45.0,29.837269328925913,5.504732e+66,66.74073618002814,5.5817,,19553.75
NGC0300,6.930534997911648e-36,-35.159233239028495,33.73994840845875,3.240149e+64,64.51056498193189,1.7478,,1386.85
NGC0801,1e-45,-45.0,17.801415021662432,6.655067e+67,67.82315243209977,8.2074,,19463.91
NGC0891,1e-45,-45.0,23.60335996286652,7.093857e+66,66.85088242959168,2.2234,0.065,8257.15
