strategy,r0_kpc,mean_chi2,median_chi2,mean_error_pct,median_error_pct
fixed r0 = 0.1 kpc,0.1,96.14797799125249,36.96302559845555,36.740176492127816,32.69710002803724
fixed r0 = 0.25 kpc,0.25,91.14700592271794,34.93967385690494,36.12167213374144,31.710011413754835
fixed r0 = 0.5 kpc,0.5,84.6683373337115,31.311175301883416,34.69785354023156,30.19215207694917
fixed r0 = 1.0 kpc,1.0,75.76068798237647,26.070132597533366,32.04550426329354,26.9345450278423
fixed r0 = 2.0 kpc,2.0,65.0105939660276,17.952879532189545,28.168898467811815,23.673322684983596
fixed r0 = 5.0 kpc,5.0,50.0123073593528,9.737207843503326,22.22050417500344,19.0203098335708
r0 = 0.1 * h,,93.36798878899855,35.37321161430504,36.549925209693676,31.609770779663837
r0 = 0.25 * h,,85.49095880438207,31.311175311232034,35.368483827672975,28.99421150481208
r0 = 0.5 * h,,75.87498623523251,26.18409386520174,32.995483084480696,28.37413655401455
r0 = 0.75 * h,,68.88777159390298,21.443887417647947,30.95678257952386,26.460211224867226
r0 = 1.0 * h,,63.5254948694766,19.91079804963505,29.230199384634023,24.28631113676331
r0 = 1.5 * h,,55.82056168744662,15.037909640931478,26.563580809345492,22.709245944123964
r0 = 2.0 * h,,50.54867067377839,13.967581081497894,24.616542902202657,20.344550296705865
r0 = 0.1 * r_half,,84.59255998821347,31.311175307845595,35.01057439942435,32.057200476289765
r0 = 0.25 * r_half,,71.79429169755839,24.130017738621227,31.156802025143314,27.089612447069406
r0 = 0.5 * r_half,,59.92349819815576,16.113866757469836,26.91706119770358,23.28896215581801
r0 = 0.75 * r_half,,52.89431406020839,13.250451845543692,24.25211269007788,21.181842860875744
r0 = 1.0 * r_half,,48.21091804808445,10.76645981411069,22.39090341671048,19.131223325108973
r0 = 1.5 * r_half,,42.39294223863951,7.2066953088893255,19.965347954219016,17.132900897556922
r0 = 2.0 * r_half,,38.96118456748658,5.9612474576428465,18.516185410251524,15.757114162852268
